customer_name,customer_address,customer_type,keyword,radius,place_id,latitude_origin,longitude_origin,latitude_destination,longitude_destination,phone_number,Distance to Infra(m)(driving),Distance to Infra(m)(walking)
Bank Mandiri KCP Pahlawan Revolusi,"Jalan Pahlawan Revolusi No.12 RT.9/RW.4, RT.11/RW.3, Klender, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJyUcV9lnzaS4R5feGiOKucYk,-6.2097,106.90166,-6.2171528,106.8998412,(021) 8625120,853,907
ATM BTN,"Jl. Pahlawan Revolusi, RT.11/RW.5, Klender, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJG3jbLVjzaS4RzCcRRA3jPmk,-6.2097,106.90166,-6.2183798,106.8999693,0,985,1039
Mandiri ATM MITSUBISHI Pulo Gadung,"Jl. Raya Bekasi Pulogadung, RT.2/RW.14, Cipinang, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJZ04RRKH0aS4R_intKrJbNXM,-6.2097,106.90166,-6.210820699999999,106.8935064,(021) 52997777,1366,1339
ATM Bank Mandiri,"Jl. Pahlawan Revolusi No.57, Pondok Bambu, Duren Sawit, RT.2/RW.4, Klender, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJXdgRXVrzaS4Rp2S6NoeJGdw,-6.2097,106.90166,-6.2219934,106.8988485,(021) 14000,1404,1481
Atm Bank Syariah Mandiri. Pt,"No, Jl. Pahlawan Revolusi No.17C, RT.1/RW.4, Klender, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJd2m4jVrzaS4RfohjV4RuZ9k,-6.2097,106.90166,-6.2230247,106.8992434,0,1512,1566
ATM CIMB Niaga,"SPBU Pertamina ATM Centre, Jalan Bekasi Timur Raya, RT.3/RW.1, Jatinegara Kaum, RT.3/RW.1, Jatinegara Kaum, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJiZsg1af0aS4Ro11lGyH9UcM,-6.2097,106.90166,-6.212319,106.9002643,0,1560,513
ATM Mandiri,"Jalan Duren Sawit, RT.5/RW.9, Klender, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJh60tbFHzaS4RaowqmrDbnk4,-6.2097,106.90166,-6.2214939,106.905207,0,1720,1775
ATM Mandiri,"Jl. Bekasi Timur Raya No.9, RT.1/RW.8, Cipinang, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJSWb9xqH0aS4Rg2KpEIehH8U,-6.2097,106.90166,-6.211807100000001,106.8898684,0,1728,1732
ATM Mandiri,"Jl. Bekasi Timur Raya No.48c, RT.13/RW.2, Jatinegara Kaum, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJU7kJa6_0aS4ReDXWEVlKU_U,-6.2097,106.90166,-6.2083637,106.9016996,0,1801,209
Bank Mandiri Jakarta Klender,"Komplek Ruko Blok B1 No.6, Jl. I Gusti Ngurah Rai, Klender, Duren Sawit, RT.15/RW.17, Klender, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJPRnRM6j0aS4RwMxAoDcg6YU,-6.2097,106.90166,-6.213994,106.9037535,(021) 86612125,2090,1587
